Time, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14
0.003, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.053, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.104, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.171, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.221, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.272, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.322, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.372, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.423, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.473, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.524, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.575, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.626, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.676, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.727, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.777, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.828, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.878, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.928, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.979, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.030, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.080, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.131, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.182, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.235, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.285, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.336, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.386, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.436, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.487, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.538, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.588, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.639, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.689, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.740, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.793, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.843, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.894, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.949, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1.999, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.049, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.203, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.254, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.304, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.355, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.404, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.462, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.512, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.563, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.613, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.664, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.715, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.765, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.816, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.867, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.917, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2.968, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3.019, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3.069, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3.120, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3.171, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.245, 0.000, 0.000, 0.000, 0.000
3.221, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.369, 0.000, 0.000, 0.000, 0.000
3.271, 0.000, 0.000, 0.000, 0.051, 0.000, 0.000, 0.000, 0.000, 0.000, 0.425, 0.000, 0.000, 0.000, 0.000
3.322, 0.000, 0.000, 0.053, 0.076, 0.000, 0.000, 0.000, 0.082, 0.000, 0.556, 0.000, 0.000, 0.000, 0.000
3.372, 0.000, 0.000, 0.068, 0.087, 0.000, 0.000, 0.000, 0.096, 0.000, 0.593, 0.000, 0.000, 0.000, 0.000
3.423, 0.000, 0.000, 0.124, 0.093, 0.000, 0.000, 0.000, 0.128, 0.000, 0.645, 0.000, 0.000, 0.000, 0.000
3.474, 0.000, 0.000, 0.139, 0.092, 0.000, 0.000, 0.000, 0.110, 0.000, 0.655, 0.000, 0.000, 0.000, 0.000
3.527, 0.000, 0.000, 0.134, 0.092, 0.000, 0.000, 0.000, 0.097, 0.000, 0.643, 0.000, 0.000, 0.000, 0.000
3.578, 0.000, 0.000, 0.117, 0.079, 0.000, 0.000, 0.000, 0.071, 0.000, 0.605, 0.000, 0.000, 0.000, 0.000
3.629, 0.000, 0.000, 0.096, 0.066, 0.000, 0.000, 0.000, 0.052, 0.000, 0.556, 0.000, 0.000, 0.000, 0.000
3.679, 0.000, 0.000, 0.083, 0.062, 0.000, 0.000, 0.000, 0.000, 0.000, 0.530, 0.000, 0.000, 0.000, 0.000
3.730, 0.000, 0.000, 0.000, 0.056, 0.000, 0.000, 0.000, 0.000, 0.000, 0.485, 0.000, 0.000, 0.000, 0.000
3.780, 0.000, 0.000, 0.071, 0.064, 0.000, 0.000, 0.000, 0.000, 0.000, 0.565, 0.000, 0.000, 0.000, 0.000
3.830, 0.000, 0.000, 0.085, 0.080, 0.000, 0.000, 0.000, 0.059, 0.000, 0.612, 0.000, 0.000, 0.000, 0.000
3.880, 0.000, 0.000, 0.088, 0.080, 0.000, 0.000, 0.000, 0.070, 0.000, 0.627, 0.000, 0.000, 0.000, 0.000
3.930, 0.000, 0.000, 0.143, 0.092, 0.000, 0.000, 0.000, 0.094, 0.000, 0.669, 0.000, 0.000, 0.000, 0.000
3.981, 0.000, 0.000, 0.125, 0.112, 0.000, 0.000, 0.000, 0.174, 0.000, 0.716, 0.000, 0.000, 0.000, 0.000
4.031, 0.000, 0.000, 0.155, 0.133, 0.000, 0.000, 0.000, 0.203, 0.000, 0.737, 0.000, 0.000, 0.000, 0.000
4.082, 0.000, 0.000, 0.211, 0.138, 0.000, 0.000, 0.000, 0.221, 0.000, 0.773, 0.084, 0.000, 0.000, 0.000
4.132, 0.000, 0.000, 0.351, 0.153, 0.000, 0.000, 0.000, 0.299, 0.000, 0.897, 0.162, 0.000, 0.000, 0.000
4.183, 0.000, 0.000, 0.325, 0.167, 0.000, 0.000, 0.000, 0.316, 0.000, 0.927, 0.187, 0.000, 0.000, 0.000
4.234, 0.000, 0.000, 0.355, 0.175, 0.000, 0.000, 0.000, 0.339, 0.000, 0.950, 0.201, 0.000, 0.000, 0.000
4.284, 0.000, 0.000, 0.377, 0.179, 0.000, 0.000, 0.000, 0.344, 0.000, 0.977, 0.212, 0.000, 0.000, 0.000
4.335, 0.000, 0.000, 0.384, 0.181, 0.000, 0.000, 0.000, 0.346, 0.000, 0.982, 0.212, 0.000, 0.000, 0.000
4.386, 0.000, 0.000, 0.398, 0.183, 0.000, 0.000, 0.000, 0.348, 0.000, 0.977, 0.219, 0.000, 0.000, 0.000
4.436, 0.000, 0.000, 0.403, 0.185, 0.000, 0.000, 0.000, 0.351, 0.000, 0.992, 0.226, 0.000, 0.000, 0.000
4.487, 0.000, 0.000, 0.409, 0.186, 0.000, 0.000, 0.000, 0.353, 0.000, 0.997, 0.231, 0.000, 0.000, 0.000
4.537, 0.000, 0.000, 0.403, 0.186, 0.000, 0.000, 0.000, 0.357, 0.000, 1.001, 0.243, 0.000, 0.000, 0.000
4.587, 0.000, 0.000, 0.422, 0.187, 0.000, 0.000, 0.000, 0.359, 0.000, 1.008, 0.250, 0.000, 0.000, 0.000
4.638, 0.000, 0.000, 0.421, 0.187, 0.000, 0.000, 0.000, 0.361, 0.000, 1.009, 0.253, 0.000, 0.000, 0.000
4.688, 0.000, 0.000, 0.424, 0.183, 0.000, 0.000, 0.000, 0.332, 0.000, 0.978, 0.225, 0.000, 0.000, 0.000
4.742, 0.000, 0.000, 0.424, 0.183, 0.000, 0.000, 0.000, 0.332, 0.000, 0.978, 0.225, 0.000, 0.000, 0.000
